A;owner;project_name;exempt_labels
0;benbalter;jekyll-relative-links;['pinned', 'security']
3;trinityfx;trinity;['pinned', 'security']
0;trinityfx;trinity;['pinned', 'security']
5;Factual;kudos21;['pinned', 'security']
0;Factual;kudos21;['pinned', 'security']
3;Factual;kudos21;['pinned', 'security']
6;Factual;kudos21;['pinned', 'security']
2;Factual;kudos21;['pinned', 'security']
2;JeffreyWay;laravel-mix;['pinned', 'security', 'regression']
4;JeffreyWay;laravel-mix;['pinned', 'security', 'regression']
2;parallel-js;parallel.js;['pr', 'discussion', 'e2e', 'enhancement']
0;mmistakes;so-simple-theme;
2;mmistakes;so-simple-theme;
7;xuhdev;vim-latex-live-preview;['enhancement', 'bug']
2;PowerShell;xRemoteDesktopSessionHost;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
6;pressbooks;pressbooks;['pinned', 'security']
5;pressbooks;pressbooks;
9;pressbooks;pressbooks;['pinned', 'security']
4;pressbooks;pressbooks;['pinned', 'security']
2;typo3-themes;theme_bootstrap4;
0;RasaHQ;rasa_nlu;['pinned', 'security']
3;RasaHQ;rasa_nlu;['enhancement', 'discussion']
9;RasaHQ;rasa_nlu;['enhancement', 'discussion']
2;RasaHQ;rasa_nlu;['enhancement', 'discussion']
7;RasaHQ;rasa_nlu;['enhancement', 'discussion']
2;RasaHQ;rasa_nlu;['enhancement', 'discussion']
2;RasaHQ;rasa_nlu;['enhancement', 'discussion']
9;RasaHQ;rasa_nlu;['enhancement', 'discussion']
5;mobxjs;mobx-state-tree;['breaking change', 'bug', 'docs or examples', 'enhancement', 'has PR']
3;mobxjs;mobx-state-tree;['breaking change', 'bug', 'docs or examples', 'enhancement', 'has PR']
1;mobxjs;mobx-state-tree;['breaking change', 'bug', 'docs or examples', 'enhancement', 'has PR', 'never-stale']
7;mobxjs;mobx-state-tree;['breaking change', 'bug', 'docs or examples', 'enhancement', 'has PR', 'never-stale']
3;wso2-incubator;product-iot-server;['in progress']
4;wso2-incubator;product-iot-server;['in progress']
7;wso2-incubator;product-iot-server;['in progress']
3;wso2-incubator;product-iot-server;
1;wso2-incubator;product-iot-server;
6;wso2-incubator;product-iot-server;
8;wso2-incubator;product-iot-server;
4;PowerShell;xSCOM;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
0;decidim;decidim;['Epic']
2;decidim;decidim;['Epic']
5;decidim;decidim;['Epic']
8;abraxasyu;abraxasyu.github.io;['pinned', 'security']
8;ankane;chartkick.js;['enhancement']
9;rook;rook;['security', 'CNCF requirement']
2;rook;rook;['security', 'CNCF requirement']
2;acemod;ace3-misc;['pinned', 'critical bug']
3;acemod;ace3-misc;['pinned', 'critical bug']
2;acemod;ace3-misc;['pinned', 'critical bug']
0;acemod;ace3-misc;['pinned', 'critical bug']
9;frctl;fractal;['pinned', 'security', 'bug']
5;frctl;fractal;['pinned', 'security', 'bug']
7;frctl;fractal;['pinned', 'security', 'bug']
6;frctl;fractal;['pinned', 'security', 'bug']
5;frctl;fractal;['pinned', 'security', 'bug']
9;frctl;fractal;['pinned', 'security', 'bug']
0;frctl;fractal;['pinned', 'security', 'bug']
3;kategolden;kategolden.github.io;['pinned', 'security']
2;kategolden;kategolden.github.io;['pinned', 'security']
3;kategolden;kategolden.github.io;
5;kategolden;kategolden.github.io;
2;kategolden;kategolden.github.io;
4;kategolden;kategolden.github.io;
4;kategolden;kategolden.github.io;
9;kategolden;kategolden.github.io;
6;rsim;oracle-enhanced;['pinned', 'security']
4;rsim;oracle-enhanced;['pinned', 'security']
5;rsim;oracle-enhanced;['pinned', 'security']
3;rsim;oracle-enhanced;['pinned', 'security']
6;rsim;oracle-enhanced;['pinned', 'security']
3;rsim;oracle-enhanced;['pinned', 'security', 'rails6']
7;rsim;oracle-enhanced;['pinned', 'security', 'rails6']
3;moonlight-stream;moonlight-chrome;['accepted', 'bug', 'enhancement', 'meta']
7;moonlight-stream;moonlight-chrome;['accepted', 'bug', 'enhancement', 'meta']
3;brynary;rack-test;['pinned', 'security']
